FullNameJP,FirstName,LastName,Birthday,HaloImageURL,IconImageURL
砂狼シロコ,Shiroko,Sunaookami,0516,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B7E383ADE382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B7E383ADE382B35F69636F6E2E706E67.png
小鳥遊ホシノ,Hoshino,Takanashi,0102,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839BE382B7E3838E2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839BE382B7E3838E5F69636F6E2E706E67.png
奥空アヤネ,Ayane,Okusora,1112,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E383A4E3838D2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E383A4E3838D5F69636F6E2E706E67.png
黒見セリカ,Serika,Kuromi,0625,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382BBE383AAE382AB76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382BBE383AAE382AB5F69636F6E2E706E67.png
十六夜ノノミ,Nonomi,Izayoi,0901,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838EE3838EE3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838EE3838EE3839F5F69636F6E2E706E67.png
尾刃カンナ,Kanna,Ogata,0907,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382ABE383B3E3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE383B3E3838A5F69636F6E2E706E67.png
中務キリノ,Kirino,Nakatsukasa,1022,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382ADE383AAE3838E2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ADE383AAE3838E5F69636F6E2E706E67.png
合歓垣フブキ,Fubuki,Nemugaki,1021,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38395E38396E382AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38395E38396E382AD5F69636F6E2E706E67.png
空崎ヒナ,Hina,Sorasaki,0219,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38392E3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38392E3838A5F69636F6E2E706E67.png
天雨アコ,Ako,Amau,1222,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E382B35F37303070782E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E382B35FE4BBAE69636F6E2E706E67.png
